Type,Threads,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,1,0,2672042,2728846,2699833
Slow,1,0,2250743,2312833,2273111
Fast,2,0,2697236,2765844,2730783
Slow,2,0,2286397,2365966,2324206
Fast,4,0,2621281,2670575,2645363
Slow,4,0,2256202,2388698,2321430
Fast,8,0,2479824,2545874,2502293
Slow,8,0,2344323,2403331,2367250
Fast,16,0,2469193,2506721,2490524
Slow,16,0,2282197,2342504,2315156
Fast,1,5,1082171,1132085,1103187
Slow,1,5,713843,749971,730548
Fast,2,5,986599,1023369,1011033
Slow,2,5,696861,740229,720214
Fast,4,5,1009287,1018841,1014931
Slow,4,5,709630,725654,715313
Fast,8,5,965639,978881,973639
Slow,8,5,716094,752951,734453
Fast,16,5,874440,902575,892504
Slow,16,5,712995,748487,735972
Fast,1,500,373698,385849,379605
Slow,1,500,296829,317380,304717
Fast,2,500,245184,269250,258177
Slow,2,500,296292,312043,303482
Fast,4,500,164121,174561,168271
Slow,4,500,292771,301925,296304
Fast,8,500,113231,123643,119458
Slow,8,500,291481,301049,295724
Fast,16,500,89936,104363,95316
Slow,16,500,286104,307005,294972
Fast,1,1000,357876,364866,360259
Slow,1,1000,288419,302284,293831
Fast,2,1000,241326,261274,253302
Slow,2,1000,284822,305143,294042
Fast,4,1000,160490,181447,167670
Slow,4,1000,302158,320680,312562
Fast,8,1000,108725,137657,120832
Slow,8,1000,296503,319324,307699
Fast,16,1000,88980,117688,101697
Slow,16,1000,290717,309928,298342
Fast,1,2000,355539,359409,357601
Slow,1,2000,290868,299576,294402
Fast,2,2000,241010,258709,251712
Slow,2,2000,284377,297003,291716
Fast,4,2000,159835,173253,164331
Slow,4,2000,289129,297606,292939
Fast,8,2000,102784,114235,109775
Slow,8,2000,287297,304723,293696
Fast,16,2000,83509,93916,88010
Slow,16,2000,293716,307550,299747
Fast,1,10000,353724,379879,364861
Slow,1,10000,286909,294811,291263
Fast,2,10000,235469,263240,249959
Slow,2,10000,281852,292586,286015
Fast,4,10000,157166,174448,166626
Slow,4,10000,283586,300864,292118
Fast,8,10000,103065,111821,107324
Slow,8,10000,282622,301062,290279
Fast,16,10000,82862,92091,86087
Slow,16,10000,286345,298885,292250
Fast,1,40001,351033,363576,356237
Slow,1,40001,280062,298596,286445
Fast,2,40001,242046,255538,248871
Slow,2,40001,280475,290945,285179
Fast,4,40001,153712,164711,158363
Slow,4,40001,284471,295927,290391
Fast,8,40001,101769,111128,104932
Slow,8,40001,278404,296900,289167
Fast,16,40001,81150,96412,86378
Slow,16,40001,277005,302209,293543
